Date,Tactic,Revenue,Impressions,View-Duration (s),eRPA,CPS,Avg Duration/User,Avg Duration/Convertor
2019-01-30,JB - PPG - H1 - 2019 - Audience - Intent (Top Urls),84.595,18180,140412,0.829,0.0006,7.7,62.68
2019-01-30,JB - PPG - H1 - 2019 - Whitelist - AWL,907.539,85383,1008811,21.608,0.0009,11.8,14.48
2019-01-30,JB - PPG - H1 - 2019 - Channel - Travel,441.381,63277,732477,7.356,0.0006,11.6,12.82
2019-01-30,JB - RTG - H1 - 2019 - Visit - Fare Aggregators,199.643,14219,10535,6.239,0.01895,0.7,3.25
2019-01-30,JB - PPG - H1 - 2019 - Discovery - Quality & Duration,392.771,43774,238960,196.386,0.00164,5.5,11.0
2019-01-30,JB - RTG - H1 - 2019 - Visit Organic Traffic,133.155,8781,89418,1.463,0.00149,10.2,10.15
2019-01-30,JB - PPG - H1 - 2019 - Audience - Intent (Top Urls - WL),116.806,27288,196867,3.074,0.00059,7.2,9.05
2019-01-30,JB - RTG - H1 - 2019 - Search Organic Traffic,117.095,11800,98273,1.105,0.00119,8.3,9.42
2019-01-30,JB - PPG - H1 - 2019 - Audience - Frequent Flyers,51.816,8513,77135,17.272,0.00067,9.1,3.33
2019-01-30,JB - PPG - H1 - 2019 - Contextual - Travel,41.532,7560,71995,3.195,0.00058,9.5,5.69
2019-01-30,JB - PPG - H1 - 2019 - Audience - Intent (Aggregators),13.969,3072,23528,13.969,0.00059,7.7,0.0
